Date,PM10,PM2.5,CO,NO2,SO2,O3,aerosol_optical_depth,dust,uv_index,AQI,european_aqi,City,Year,Month,Day,DayOfWeek,DayOfYear,Week,Quarter,Month_sin,Month_cos,Day_sin,Day_cos,Total_PM,PM_ratio,Avg_Pollution,Max_Pollution,Min_Pollution,Pollution_Range,AQI_rolling_mean_3,AQI_rolling_std_3,AQI_rolling_min_3,AQI_rolling_max_3,AQI_rolling_mean_7,AQI_rolling_std_7,AQI_rolling_min_7,AQI_rolling_max_7,PM2.5_rolling_mean_3,PM2.5_rolling_std_3,PM2.5_rolling_min_3,PM2.5_rolling_max_3,PM2.5_rolling_mean_7,PM2.5_rolling_std_7,PM2.5_rolling_min_7,PM2.5_rolling_max_7,PM10_rolling_mean_3,PM10_rolling_std_3,PM10_rolling_min_3,PM10_rolling_max_3,PM10_rolling_mean_7,PM10_rolling_std_7,PM10_rolling_min_7,PM10_rolling_max_7,NO2_rolling_mean_3,NO2_rolling_std_3,NO2_rolling_min_3,NO2_rolling_max_3,NO2_rolling_mean_7,NO2_rolling_std_7,NO2_rolling_min_7,NO2_rolling_max_7,SO2_rolling_mean_3,SO2_rolling_std_3,SO2_rolling_min_3,SO2_rolling_max_3,SO2_rolling_mean_7,SO2_rolling_std_7,SO2_rolling_min_7,SO2_rolling_max_7,CO_rolling_mean_3,CO_rolling_std_3,CO_rolling_min_3,CO_rolling_max_3,CO_rolling_mean_7,CO_rolling_std_7,CO_rolling_min_7,CO_rolling_max_7,O3_rolling_mean_3,O3_rolling_std_3,O3_rolling_min_3,O3_rolling_max_3,O3_rolling_mean_7,O3_rolling_std_7,O3_rolling_min_7,O3_rolling_max_7,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_lag_4,AQI_lag_5,AQI_lag_6,AQI_lag_7,PM2.5_lag_1,PM2.5_lag_2,PM2.5_lag_3,PM2.5_lag_4,PM2.5_lag_5,PM2.5_lag_6,PM2.5_lag_7,PM10_lag_1,PM10_lag_2,PM10_lag_3,PM10_lag_4,PM10_lag_5,PM10_lag_6,PM10_lag_7,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,SO2_lag_1,SO2_lag_2,SO2_lag_3,SO2_lag_4,SO2_lag_5,SO2_lag_6,SO2_lag_7,CO_lag_1,CO_lag_2,CO_lag_3,CO_lag_4,CO_lag_5,CO_lag_6,CO_lag_7,O3_lag_1,O3_lag_2,O3_lag_3,O3_lag_4,O3_lag_5,O3_lag_6,O3_lag_7
2022-08-14,41.12083333333333,21.6125,202.25,13.158333333333331,17.291666666666668,45.04166666666666,0.7525,13.083333333333334,1.2520833333333334,71.0,47.75,Mumbai,2022,8,14,6,226,32,3,-0.8660254037844385,-0.5000000000000004,0.29936312297335804,-0.9541392564000488,62.733333333333334,0.5131071322583837,56.74583333333334,202.25,13.158333333333331,189.09166666666667,71.18055555555556,0.5040346475453868,70.79166666666667,71.75,69.55952380952381,4.239083006435422,62.75,73.25,21.830555555555552,0.1948260144998727,21.6125,21.9875,21.45059523809524,1.673201474599867,18.375,23.383333333333336,40.96388888888888,0.4920608118847251,40.4125,41.35833333333333,38.38809523809523,4.994087608860455,29.39583333333333,42.29166666666666,12.844444444444443,0.8844758073026704,11.845833333333331,13.529166666666669,14.001190476190475,4.394222792304999,10.233333333333333,22.791666666666668,16.655555555555555,1.9063323449123273,14.5125,18.1625,17.705357142857142,5.693632588274809,11.575,26.90833333333333,199.04166666666666,11.28489957125649,186.5,208.375,207.40476190476193,38.28315491697129,170.41666666666666,278.9166666666667,43.43055555555555,2.5421219992870157,40.5,45.04166666666666,44.51190476190476,4.539673000600474,36.54166666666666,49.04166666666666,70.79166666666667,71.75,73.25,73.04166666666667,64.33333333333333,62.75,65.20833333333333,21.9875,21.891666666666666,22.695833333333336,23.383333333333336,20.20833333333333,18.375,17.841666666666665,41.35833333333333,40.4125,40.92083333333333,42.29166666666666,33.21666666666666,29.39583333333333,28.70833333333333,13.529166666666669,11.845833333333331,10.233333333333333,10.258333333333336,16.191666666666666,22.791666666666668,20.275,18.1625,14.5125,11.575,12.191666666666668,23.29583333333333,26.90833333333333,26.950000000000003,208.375,186.5,172.66666666666666,170.41666666666666,232.70833333333331,278.9166666666667,285.6666666666667,44.75,40.5,48.5,49.04166666666666,47.208333333333336,36.54166666666666,51.04166666666666
2022-08-15,40.24166666666667,21.870833333333334,194.0,13.920833333333334,16.8625,36.25,0.7912499999999999,10.166666666666666,0.7645833333333334,70.5,46.708333333333336,Mumbai,2022,8,15,0,227,33,3,-0.8660254037844385,-0.5000000000000004,0.10116832198743272,-0.994869323391895,62.1125,0.530309153364316,53.857638888888886,194.0,13.920833333333334,180.07916666666665,70.7638888888889,0.2511547405564683,70.5,71.0,70.66666666666666,2.993144172444228,64.33333333333333,73.25,21.82361111111111,0.1919080605490102,21.6125,21.9875,21.95,0.9805693263118634,20.20833333333333,23.383333333333336,40.90694444444444,0.5882579822694856,40.24166666666667,41.35833333333333,39.9375,3.0390742376951234,33.21666666666666,42.29166666666666,13.536111111111111,0.3812974317792923,13.158333333333331,13.920833333333334,12.733928571428573,2.1349270150963955,10.233333333333333,16.191666666666666,17.43888888888889,0.6623864333126916,16.8625,18.1625,16.270238095238096,4.002153231626491,11.575,23.29583333333333,201.54166666666666,7.213630038568998,194.0,208.375,195.27380952380955,21.714875015934762,170.41666666666666,232.70833333333331,42.013888888888886,4.993804031367612,36.25,45.04166666666666,44.47023809523809,4.625545155915995,36.25,49.04166666666666,71.0,70.79166666666667,71.75,73.25,73.04166666666667,64.33333333333333,62.75,21.6125,21.9875,21.891666666666666,22.695833333333336,23.383333333333336,20.20833333333333,18.375,41.12083333333333,41.35833333333333,40.4125,40.92083333333333,42.29166666666666,33.21666666666666,29.39583333333333,13.158333333333331,13.529166666666669,11.845833333333331,10.233333333333333,10.258333333333336,16.191666666666666,22.791666666666668,17.291666666666668,18.1625,14.5125,11.575,12.191666666666668,23.29583333333333,26.90833333333333,202.25,208.375,186.5,172.66666666666666,170.41666666666666,232.70833333333331,278.9166666666667,45.04166666666666,44.75,40.5,48.5,49.04166666666666,47.208333333333336,36.54166666666666
2022-08-16,42.4125,23.85833333333333,185.625,12.508333333333333,14.370833333333332,33.625,0.6737500000000001,8.375,0.5625,74.95833333333333,55.04166666666666,Mumbai,2022,8,16,1,228,33,3,-0.8660254037844385,-0.5000000000000004,-0.10116832198743204,-0.9948693233918952,66.27083333333333,0.5495728956713696,52.06666666666666,185.625,12.508333333333333,173.11666666666667,72.15277777777777,2.4425102827791147,70.5,74.95833333333333,72.18452380952381,1.6295976878783294,70.5,74.95833333333333,22.447222222222223,1.22886531145755,21.6125,23.85833333333333,22.47142857142857,0.8635407990594365,21.6125,23.85833333333333,41.25833333333333,1.0919290397172574,40.24166666666667,42.4125,41.25119047619047,0.845712615515631,40.24166666666667,42.4125,13.195833333333333,0.706996287118967,12.508333333333333,13.920833333333334,12.207738095238096,1.5002380763446623,10.233333333333333,13.920833333333334,16.175,1.5771204861320693,14.370833333333332,17.291666666666668,14.995238095238095,2.5486191665458873,11.575,18.1625,193.95833333333334,8.312578320433737,185.625,202.25,188.54761904761907,14.16732899945616,170.41666666666666,208.375,38.30555555555555,5.979469117398759,33.625,45.04166666666666,42.529761904761905,5.94611773660479,33.625,49.04166666666666,70.5,71.0,70.79166666666667,71.75,73.25,73.04166666666667,64.33333333333333,21.870833333333334,21.6125,21.9875,21.891666666666666,22.695833333333336,23.383333333333336,20.20833333333333,40.24166666666667,41.12083333333333,41.35833333333333,40.4125,40.92083333333333,42.29166666666666,33.21666666666666,13.920833333333334,13.158333333333331,13.529166666666669,11.845833333333331,10.233333333333333,10.258333333333336,16.191666666666666,16.8625,17.291666666666668,18.1625,14.5125,11.575,12.191666666666668,23.29583333333333,194.0,202.25,208.375,186.5,172.66666666666666,170.41666666666666,232.70833333333331,36.25,45.04166666666666,44.75,40.5,48.5,49.04166666666666,47.208333333333336
2022-08-17,38.36666666666667,21.070833333333333,204.45833333333331,13.6375,16.529166666666665,33.25,0.5058333333333334,8.958333333333334,1.375,69.625,44.833333333333336,Mumbai,2022,8,17,2,229,33,3,-0.8660254037844385,-0.5000000000000004,-0.2993631229733582,-0.9541392564000488,59.4375,0.5352455546147332,54.552083333333336,204.45833333333331,13.6375,190.82083333333333,71.69444444444444,2.8602682145665135,69.625,74.95833333333333,71.69642857142857,1.8294963455297337,69.625,74.95833333333333,22.266666666666666,1.4352881534149493,21.070833333333333,23.85833333333333,22.141071428571426,0.8981798356653091,21.070833333333333,23.85833333333333,40.34027777777778,2.0247184875196242,38.36666666666667,42.4125,40.69047619047619,1.2468936269510642,38.36666666666667,42.4125,13.355555555555554,0.7472673984691277,12.508333333333333,13.920833333333334,12.69047619047619,1.2985295153043122,10.233333333333333,13.920833333333334,15.920833333333334,1.352646582732331,14.370833333333332,16.8625,15.614880952380954,2.2648760507216874,11.575,18.1625,194.69444444444443,9.435851891903429,185.625,204.45833333333331,193.41071428571428,12.669851312273876,172.66666666666666,208.375,34.375,1.634587103827607,33.25,36.25,40.27380952380952,6.058351346013698,33.25,48.5,74.95833333333333,70.5,71.0,70.79166666666667,71.75,73.25,73.04166666666667,23.85833333333333,21.870833333333334,21.6125,21.9875,21.891666666666666,22.695833333333336,23.383333333333336,42.4125,40.24166666666667,41.12083333333333,41.35833333333333,40.4125,40.92083333333333,42.29166666666666,12.508333333333333,13.920833333333334,13.158333333333331,13.529166666666669,11.845833333333331,10.233333333333333,10.258333333333336,14.370833333333332,16.8625,17.291666666666668,18.1625,14.5125,11.575,12.191666666666668,185.625,194.0,202.25,208.375,186.5,172.66666666666666,170.41666666666666,33.625,36.25,45.04166666666666,44.75,40.5,48.5,49.04166666666666
2022-08-18,44.22083333333333,22.95,217.45833333333331,13.491666666666667,19.275,37.625,0.6316666666666667,17.625,1.5854166666666665,72.0,49.333333333333336,Mumbai,2022,8,18,3,230,33,3,-0.8660254037844385,-0.5000000000000004,-0.4853019625310808,-0.8743466161445822,67.17083333333333,0.5075094443932553,59.170138888888886,217.45833333333331,13.491666666666667,203.96666666666664,72.19444444444444,2.671978217088011,69.625,74.95833333333333,71.51785714285714,1.7096636322532885,69.625,74.95833333333333,22.626388888888886,1.4216476975417924,21.070833333333333,23.85833333333333,22.177380952380954,0.9289544387139463,21.070833333333333,23.85833333333333,41.666666666666664,2.9975018533957893,38.36666666666667,44.22083333333333,41.16190476190476,1.8340803853125731,38.36666666666667,44.22083333333333,13.212499999999999,0.61417005878756,12.508333333333333,13.6375,13.155952380952382,0.7308387857030306,11.845833333333331,13.920833333333334,16.724999999999998,2.4579413529301544,14.370833333333332,19.275,16.714880952380952,1.7973969365042537,14.370833333333332,19.275,202.51388888888889,16.005496740993006,185.625,217.45833333333331,199.8095238095238,11.722556039781436,185.625,217.45833333333331,34.833333333333336,2.42491408782515,33.25,37.625,38.72023809523809,4.876348002477858,33.25,45.04166666666666,69.625,74.95833333333333,70.5,71.0,70.79166666666667,71.75,73.25,21.070833333333333,23.85833333333333,21.870833333333334,21.6125,21.9875,21.891666666666666,22.695833333333336,38.36666666666667,42.4125,40.24166666666667,41.12083333333333,41.35833333333333,40.4125,40.92083333333333,13.6375,12.508333333333333,13.920833333333334,13.158333333333331,13.529166666666669,11.845833333333331,10.233333333333333,16.529166666666665,14.370833333333332,16.8625,17.291666666666668,18.1625,14.5125,11.575,204.45833333333331,185.625,194.0,202.25,208.375,186.5,172.66666666666666,33.25,33.625,36.25,45.04166666666666,44.75,40.5,48.5
2022-08-19,37.29583333333333,20.17083333333333,218.45833333333331,14.191666666666668,18.6,34.875,0.5591666666666667,11.291666666666666,1.3770833333333332,70.20833333333333,46.083333333333336,Mumbai,2022,8,19,4,231,33,3,-0.8660254037844385,-0.5000000000000004,-0.651372482722222,-0.7587581226927911,57.466666666666654,0.5267109128495268,57.265277777777776,218.45833333333331,14.191666666666668,204.26666666666665,70.6111111111111,1.2376706765953658,69.625,72.0,71.29761904761905,1.772903784949313,69.625,74.95833333333333,21.397222222222222,1.4180405919332355,20.17083333333333,22.95,21.931547619047617,1.2041110549030254,20.17083333333333,23.85833333333333,39.96111111111111,3.7276797159647277,37.29583333333333,44.22083333333333,40.71666666666666,2.3516075077211203,37.29583333333333,44.22083333333333,13.77361111111111,0.36931649831266156,13.491666666666667,14.191666666666668,13.491071428571429,0.5438919491783288,12.508333333333333,14.191666666666668,18.134722222222223,1.4308258913932055,16.529166666666665,19.275,17.298809523809524,1.617621629260103,14.370833333333332,19.275,213.45833333333334,7.810249675907477,204.45833333333331,218.45833333333331,204.375,11.89705554141663,185.625,218.45833333333331,35.25,2.211475751619167,33.25,37.625,37.916666666666664,4.996179095624527,33.25,45.04166666666666,72.0,69.625,74.95833333333333,70.5,71.0,70.79166666666667,71.75,22.95,21.070833333333333,23.85833333333333,21.870833333333334,21.6125,21.9875,21.891666666666666,44.22083333333333,38.36666666666667,42.4125,40.24166666666667,41.12083333333333,41.35833333333333,40.4125,13.491666666666667,13.6375,12.508333333333333,13.920833333333334,13.158333333333331,13.529166666666669,11.845833333333331,19.275,16.529166666666665,14.370833333333332,16.8625,17.291666666666668,18.1625,14.5125,217.45833333333331,204.45833333333331,185.625,194.0,202.25,208.375,186.5,37.625,33.25,33.625,36.25,45.04166666666666,44.75,40.5
2022-08-20,32.78333333333333,18.0625,228.75,14.670833333333334,22.02083333333333,40.083333333333336,0.58625,8.5,1.7291666666666667,64.875,38.083333333333336,Mumbai,2022,8,20,5,232,33,3,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627,50.84583333333333,0.5346571287617169,59.39513888888889,228.75,14.670833333333334,214.07916666666665,69.02777777777777,3.706304063998957,64.875,72.0,70.45238095238095,3.023579075083065,64.875,74.95833333333333,20.394444444444446,2.4514109221546816,18.0625,22.95,21.370833333333334,1.8914234425133052,18.0625,23.85833333333333,38.099999999999994,5.760999443094343,32.78333333333333,44.22083333333333,39.49166666666667,3.7683332719052496,32.78333333333333,44.22083333333333,14.118055555555557,0.5930197751371373,13.491666666666667,14.670833333333334,13.654166666666667,0.7046390591669989,12.508333333333333,14.670833333333334,19.965277777777775,1.8118740937165474,18.6,22.02083333333333,17.849999999999998,2.419540915285604,14.370833333333332,22.02083333333333,221.55555555555554,6.250601822877694,217.45833333333331,228.75,207.28571428571428,15.100079496269146,185.625,228.75,37.52777777777778,2.605527422259795,34.875,40.083333333333336,37.25,4.176516136331453,33.25,45.04166666666666,70.20833333333333,72.0,69.625,74.95833333333333,70.5,71.0,70.79166666666667,20.17083333333333,22.95,21.070833333333333,23.85833333333333,21.870833333333334,21.6125,21.9875,37.29583333333333,44.22083333333333,38.36666666666667,42.4125,40.24166666666667,41.12083333333333,41.35833333333333,14.191666666666668,13.491666666666667,13.6375,12.508333333333333,13.920833333333334,13.158333333333331,13.529166666666669,18.6,19.275,16.529166666666665,14.370833333333332,16.8625,17.291666666666668,18.1625,218.45833333333331,217.45833333333331,204.45833333333331,185.625,194.0,202.25,208.375,34.875,37.625,33.25,33.625,36.25,45.04166666666666,44.75
2022-08-21,36.50833333333333,19.625,214.125,13.379166666666668,20.191666666666663,37.375,0.7254166666666667,10.416666666666666,1.35625,64.83333333333333,37.875,Mumbai,2022,8,21,6,233,33,3,-0.8660254037844385,-0.5000000000000004,-0.8978045395707417,-0.44039415155763423,56.13333333333333,0.5232170628749166,56.86736111111111,214.125,13.379166666666668,200.74583333333334,66.63888888888889,3.0912997685859773,64.83333333333333,70.20833333333333,69.57142857142857,3.6672753823729187,64.83333333333333,74.95833333333333,19.28611111111111,1.0942584796885955,18.0625,20.17083333333333,21.08690476190476,1.9954163745786244,18.0625,23.85833333333333,35.52916666666666,2.4103401385143224,32.78333333333333,37.29583333333333,38.83273809523809,3.8385934837987747,32.78333333333333,44.22083333333333,14.080555555555557,0.6529624443286922,13.379166666666668,14.670833333333334,13.685714285714287,0.6833623687211465,12.508333333333333,14.670833333333334,20.270833333333332,1.7117902016439177,18.6,22.02083333333333,18.264285714285712,2.5526230802739844,14.370833333333332,22.02083333333333,220.44444444444443,7.512065911536784,214.125,228.75,208.98214285714286,15.107099468960833,185.625,228.75,37.44444444444445,2.604861018543129,34.875,40.083333333333336,36.154761904761905,2.4347639304099715,33.25,40.083333333333336,64.875,70.20833333333333,72.0,69.625,74.95833333333333,70.5,71.0,18.0625,20.17083333333333,22.95,21.070833333333333,23.85833333333333,21.870833333333334,21.6125,32.78333333333333,37.29583333333333,44.22083333333333,38.36666666666667,42.4125,40.24166666666667,41.12083333333333,14.670833333333334,14.191666666666668,13.491666666666667,13.6375,12.508333333333333,13.920833333333334,13.158333333333331,22.02083333333333,18.6,19.275,16.529166666666665,14.370833333333332,16.8625,17.291666666666668,228.75,218.45833333333331,217.45833333333331,204.45833333333331,185.625,194.0,202.25,40.083333333333336,34.875,37.625,33.25,33.625,36.25,45.04166666666666
2022-08-22,38.0875,19.78333333333333,198.125,12.820833333333333,17.291666666666668,32.958333333333336,0.7295833333333334,13.5,1.00625,65.875,39.0,Mumbai,2022,8,22,0,234,34,3,-0.8660254037844385,-0.5000000000000004,-0.9680771188662041,-0.2506525322587213,57.87083333333333,0.5061294105106066,53.17777777777778,198.125,12.820833333333333,185.30416666666667,65.19444444444444,0.5897464929327308,64.83333333333333,65.875,68.91071428571429,3.88241737613814,64.83333333333333,74.95833333333333,19.156944444444445,0.9511171550301367,18.0625,19.78333333333333,20.788690476190474,2.014627806422986,18.0625,23.85833333333333,35.793055555555554,2.7234652065854292,32.78333333333333,38.0875,38.525,3.792892048634205,32.78333333333333,44.22083333333333,13.623611111111112,0.9489150724984915,12.820833333333333,14.670833333333334,13.528571428571428,0.7440638093476944,12.508333333333333,14.670833333333334,19.834722222222222,2.3847036173479226,17.291666666666668,22.02083333333333,18.32559523809524,2.5182659430228402,14.370833333333332,22.02083333333333,213.66666666666666,15.317643693902365,198.125,228.75,209.57142857142858,14.493267799496909,185.625,228.75,36.80555555555556,3.5964713931131285,32.958333333333336,40.083333333333336,35.68452380952381,2.715040534839237,32.958333333333336,40.083333333333336,64.83333333333333,64.875,70.20833333333333,72.0,69.625,74.95833333333333,70.5,19.625,18.0625,20.17083333333333,22.95,21.070833333333333,23.85833333333333,21.870833333333334,36.50833333333333,32.78333333333333,37.29583333333333,44.22083333333333,38.36666666666667,42.4125,40.24166666666667,13.379166666666668,14.670833333333334,14.191666666666668,13.491666666666667,13.6375,12.508333333333333,13.920833333333334,20.191666666666663,22.02083333333333,18.6,19.275,16.529166666666665,14.370833333333332,16.8625,214.125,228.75,218.45833333333331,217.45833333333331,204.45833333333331,185.625,194.0,37.375,40.083333333333336,34.875,37.625,33.25,33.625,36.25
2022-08-23,43.23333333333333,22.008333333333336,222.33333333333331,14.054166666666667,20.3125,41.41666666666666,0.6791666666666667,18.541666666666668,1.4229166666666666,69.0,43.708333333333336,Mumbai,2022,8,23,1,235,34,3,-0.8660254037844385,-0.5000000000000004,-0.9987165071710528,-0.05064916883871355,65.24166666666666,0.49755086661642817,60.559722222222206,222.33333333333331,14.054166666666667,208.27916666666664,66.56944444444444,2.1684020827773316,64.83333333333333,69.0,68.05952380952381,2.851946332524076,64.83333333333333,72.0,20.47222222222222,1.3326647629356703,19.625,22.008333333333336,20.524404761904766,1.6293272664722216,18.0625,22.95,39.27638888888888,3.5166033103824272,36.50833333333333,43.23333333333333,38.642261904761895,3.942834737494806,32.78333333333333,44.22083333333333,13.418055555555556,0.617585651579634,12.820833333333333,14.054166666666667,13.749404761904762,0.60769767289357,12.820833333333333,14.670833333333334,19.26527777777778,1.7102648295035243,17.291666666666668,20.3125,19.17440476190476,1.8847761013927624,16.529166666666665,22.02083333333333,211.52777777777774,12.31137779243905,198.125,222.33333333333331,214.81547619047618,10.466322124295722,198.125,228.75,37.25,4.2305519077827185,32.958333333333336,41.41666666666666,36.79761904761905,3.270362543208498,32.958333333333336,41.41666666666666,65.875,64.83333333333333,64.875,70.20833333333333,72.0,69.625,74.95833333333333,19.78333333333333,19.625,18.0625,20.17083333333333,22.95,21.070833333333333,23.85833333333333,38.0875,36.50833333333333,32.78333333333333,37.29583333333333,44.22083333333333,38.36666666666667,42.4125,12.820833333333333,13.379166666666668,14.670833333333334,14.191666666666668,13.491666666666667,13.6375,12.508333333333333,17.291666666666668,20.191666666666663,22.02083333333333,18.6,19.275,16.529166666666665,14.370833333333332,198.125,214.125,228.75,218.45833333333331,217.45833333333331,204.45833333333331,185.625,32.958333333333336,37.375,40.083333333333336,34.875,37.625,33.25,33.625
