Date,AQI,City
2018-08-16,86,Delhi
2018-08-17,84,Delhi
2018-08-18,80,Delhi
2018-08-19,89,Delhi
2018-08-20,137,Delhi
2018-08-21,87,Delhi
2018-08-22,78,Delhi
2018-08-23,69,Delhi
2018-08-24,80,Delhi
2018-08-25,89,Delhi
2018-08-26,78,Delhi
2018-08-27,62,Delhi
2018-08-28,71,Delhi
2018-08-29,68,Delhi
2018-08-30,78,Delhi
2018-08-31,127,Delhi
2018-09-01,114,Delhi
2018-09-02,106,Delhi
2018-09-03,73,Delhi
2018-09-04,112,Delhi
2018-09-05,90,Delhi
2018-09-06,137,Delhi
2018-09-07,91,Delhi
2018-09-08,86,Delhi
2018-09-09,61,Delhi
2018-09-10,84,Delhi
2018-09-11,79,Delhi
2018-09-12,90,Delhi
2018-09-13,103,Delhi
2018-09-14,102,Delhi
2018-09-15,118,Delhi
2018-09-16,121,Delhi
2018-09-17,135,Delhi
2018-09-18,150,Delhi
2018-09-19,154,Delhi
2018-09-20,164,Delhi
2018-09-21,143,Delhi
2018-09-22,54,Delhi
2018-09-23,62,Delhi
2018-09-24,52,Delhi
2018-09-25,55,Delhi
2018-09-26,88,Delhi
2018-09-27,151,Delhi
2018-09-28,197,Delhi
2018-09-29,219,Delhi
2018-09-30,158,Delhi
2018-10-01,148,Delhi
2018-10-02,202,Delhi
2018-10-03,143,Delhi
2018-10-04,201,Delhi
2018-10-05,256,Delhi
2018-10-06,209,Delhi
2018-10-07,181,Delhi
2018-10-08,246,Delhi
2018-10-09,251,Delhi
2018-10-10,241,Delhi
2018-10-11,210,Delhi
2018-10-12,154,Delhi
2018-10-13,262,Delhi
2018-10-14,204,Delhi
2018-10-15,246,Delhi
2018-10-16,291,Delhi
2018-10-17,313,Delhi
2018-10-18,297,Delhi
2018-10-19,276,Delhi
2018-10-20,326,Delhi
2018-10-21,292,Delhi
2018-10-22,272,Delhi
2018-10-23,254,Delhi
2018-10-24,328,Delhi
2018-10-25,331,Delhi
2018-10-26,361,Delhi
2018-10-27,350,Delhi
2018-10-28,366,Delhi
2018-10-29,367,Delhi
2018-10-30,401,Delhi
2018-10-31,358,Delhi
2018-11-01,393,Delhi
2018-11-02,370,Delhi
2018-11-03,340,Delhi
2018-11-04,171,Delhi
2018-11-05,426,Delhi
2018-11-06,338,Delhi
2018-11-07,281,Delhi
2018-11-08,390,Delhi
2018-11-09,423,Delhi
2018-11-10,401,Delhi
2018-11-11,405,Delhi
2018-11-12,399,Delhi
2018-11-13,409,Delhi
2018-11-14,312,Delhi
2018-11-15,217,Delhi
2018-11-16,285,Delhi
2018-11-17,267,Delhi
2018-11-18,311,Delhi
2018-11-19,330,Delhi
2018-11-20,374,Delhi
2018-11-21,374,Delhi
2018-11-22,273,Delhi
2018-11-23,337,Delhi
2018-11-24,249,Delhi
2018-11-25,262,Delhi
2018-11-26,336,Delhi
2018-11-27,352,Delhi
2018-11-28,316,Delhi
2018-11-29,358,Delhi
2018-11-30,352,Delhi
2018-12-01,306,Delhi
2018-12-02,297,Delhi
2018-12-03,328,Delhi
2018-12-04,356,Delhi
2018-12-05,331,Delhi
2018-12-06,349,Delhi
2018-12-07,348,Delhi
2018-12-08,347,Delhi
2018-12-09,374,Delhi
2018-12-10,403,Delhi
2018-12-11,413,Delhi
2018-12-12,392,Delhi
2018-12-13,194,Delhi
2018-12-14,249,Delhi
2018-12-15,261,Delhi
2018-12-16,282,Delhi
2018-12-17,337,Delhi
2018-12-18,353,Delhi
2018-12-19,353,Delhi
2018-12-20,394,Delhi
2018-12-21,386,Delhi
2018-12-22,421,Delhi
2018-12-23,450,Delhi
2018-12-24,448,Delhi
2018-12-25,409,Delhi
2018-12-26,384,Delhi
2018-12-27,399,Delhi
2018-12-28,392,Delhi
2018-12-29,385,Delhi
2018-12-30,415,Delhi
2018-12-31,420,Delhi
2019-01-01,393,Delhi
2019-01-02,430,Delhi
2019-01-03,444,Delhi
2019-01-04,386,Delhi
2019-01-05,407,Delhi
2019-01-06,336,Delhi
2019-01-07,333,Delhi
2019-01-08,320,Delhi
2019-01-09,288,Delhi
2019-01-10,292,Delhi
2019-01-11,371,Delhi
2019-01-12,423,Delhi
2019-01-13,414,Delhi
2019-01-14,247,Delhi
2019-01-15,237,Delhi
2019-01-16,371,Delhi
2019-01-17,440,Delhi
2019-01-18,397,Delhi
2019-01-19,378,Delhi
2019-01-20,404,Delhi
2019-01-21,346,Delhi
2019-01-22,104,Delhi
2019-01-23,212,Delhi
2019-01-24,311,Delhi
2019-01-25,151,Delhi
2019-01-26,233,Delhi
2019-01-27,262,Delhi
2019-01-28,267,Delhi
2019-01-29,276,Delhi
2019-01-30,327,Delhi
2019-01-31,359,Delhi
2019-02-01,306,Delhi
2019-02-02,332,Delhi
2019-02-03,289,Delhi
2019-02-04,288,Delhi
2019-02-05,382,Delhi
2019-02-06,352,Delhi
2019-02-07,176,Delhi
2019-02-08,144,Delhi
2019-02-09,158,Delhi
2019-02-10,276,Delhi
2019-02-11,309,Delhi
2019-02-12,342,Delhi
2019-02-13,367,Delhi
2019-02-14,340,Delhi
2019-02-15,245,Delhi
2019-02-16,276,Delhi
2019-02-17,222,Delhi
2019-02-18,255,Delhi
2019-02-19,221,Delhi
2019-02-20,271,Delhi
2019-02-21,144,Delhi
2019-02-22,186,Delhi
2019-02-23,113,Delhi
2019-02-24,190,Delhi
2019-02-25,217,Delhi
2019-02-26,116,Delhi
2019-02-27,100,Delhi
2019-02-28,170,Delhi
2019-03-01,225,Delhi
2019-03-02,217,Delhi
2019-03-03,117,Delhi
2019-03-04,234,Delhi
2019-03-05,140,Delhi
2019-03-06,186,Delhi
2019-03-07,217,Delhi
2019-03-08,197,Delhi
2019-03-09,187,Delhi
2019-03-10,160,Delhi
2019-03-11,187,Delhi
2019-03-12,134,Delhi
2019-03-13,178,Delhi
2019-03-14,266,Delhi
2019-03-15,154,Delhi
2019-03-16,139,Delhi
2019-03-17,192,Delhi
2019-03-18,196,Delhi
2019-03-19,216,Delhi
2019-03-20,208,Delhi
2019-03-21,242,Delhi
2019-03-22,114,Delhi
2019-03-23,132,Delhi
2019-03-24,121,Delhi
2019-03-25,139,Delhi
2019-03-26,159,Delhi
2019-03-27,171,Delhi
2019-03-28,234,Delhi
2019-03-29,232,Delhi
2019-03-30,233,Delhi
2019-03-31,182,Delhi
2019-04-01,151,Delhi
2019-04-02,198,Delhi
2019-04-03,187,Delhi
2019-04-04,254,Delhi
2019-04-05,264,Delhi
2019-04-06,266,Delhi
2019-04-07,302,Delhi
2019-04-08,264,Delhi
2019-04-09,204,Delhi
2019-04-10,238,Delhi
2019-04-11,183,Delhi
2019-04-12,212,Delhi
2019-04-13,170,Delhi
2019-04-14,137,Delhi
2019-04-15,168,Delhi
2019-04-16,180,Delhi
2019-04-17,84,Delhi
2019-04-18,114,Delhi
2019-04-19,157,Delhi
2019-04-20,198,Delhi
2019-04-21,203,Delhi
2019-04-22,236,Delhi
2019-04-23,247,Delhi
2019-04-24,221,Delhi
2019-04-25,251,Delhi
2019-04-26,215,Delhi
2019-04-27,256,Delhi
2019-04-28,264,Delhi
2019-04-29,248,Delhi
2019-04-30,250,Delhi
2019-05-01,295,Delhi
2019-05-02,257,Delhi
2019-05-03,183,Delhi
2019-05-04,182,Delhi
2019-05-05,227,Delhi
2019-05-06,249,Delhi
2019-05-07,294,Delhi
2019-05-08,357,Delhi
2019-05-09,347,Delhi
2019-05-10,277,Delhi
2019-05-11,251,Delhi
2019-05-12,334,Delhi
2019-05-13,322,Delhi
2019-05-14,153,Delhi
2019-05-15,186,Delhi
2019-05-16,187,Delhi
2019-05-17,265,Delhi
2019-05-18,105,Delhi
2019-05-19,185,Delhi
2019-05-20,206,Delhi
2019-05-21,190,Delhi
2019-05-22,158,Delhi
2019-05-23,223,Delhi
2019-05-24,123,Delhi
2019-05-25,121,Delhi
2019-05-26,142,Delhi
2019-05-27,160,Delhi
2019-05-28,177,Delhi
2019-05-29,185,Delhi
2019-05-30,218,Delhi
2019-05-31,280,Delhi
2019-06-01,264,Delhi
2019-06-02,201,Delhi
2019-06-03,261,Delhi
2019-06-04,169,Delhi
2019-06-05,192,Delhi
2019-06-06,206,Delhi
2019-06-07,173,Delhi
2019-06-08,181,Delhi
2019-06-09,239,Delhi
2019-06-10,207,Delhi
2019-06-11,307,Delhi
2019-06-12,233,Delhi
2019-06-13,175,Delhi
2019-06-14,171,Delhi
2019-06-15,224,Delhi
2019-06-16,178,Delhi
2019-06-17,123,Delhi
2019-06-18,97,Delhi
2019-06-19,199,Delhi
2019-06-20,141,Delhi
2019-06-21,177,Delhi
2019-06-22,189,Delhi
2019-06-23,148,Delhi
2019-06-24,109,Delhi
2019-06-25,133,Delhi
2019-06-26,162,Delhi
2019-06-27,184,Delhi
2019-06-28,191,Delhi
2019-06-29,231,Delhi
2019-06-30,237,Delhi
2019-07-01,183,Delhi
2019-07-02,218,Delhi
2019-07-03,136,Delhi
2019-07-04,103,Delhi
2019-07-05,106,Delhi
2019-07-06,88,Delhi
2019-07-07,91,Delhi
2019-07-08,127,Delhi
2019-07-09,126,Delhi
2019-07-10,148,Delhi
2019-07-11,317,Delhi
2019-07-12,272,Delhi
2019-07-13,275,Delhi
2019-07-14,235,Delhi
2019-07-15,168,Delhi
2019-07-16,93,Delhi
2019-07-17,73,Delhi
2019-07-18,85,Delhi
2019-07-19,145,Delhi
2019-07-20,124,Delhi
2019-07-21,108,Delhi
2019-07-22,112,Delhi
2019-07-23,148,Delhi
2019-07-24,164,Delhi
2019-07-25,78,Delhi
2019-07-26,81,Delhi
2019-07-27,61,Delhi
2019-07-28,64,Delhi
2019-07-29,65,Delhi
2019-07-30,80,Delhi
2019-07-31,80,Delhi
2019-08-01,89,Delhi
2019-08-02,84,Delhi
2019-08-03,89,Delhi
2019-08-04,87,Delhi
2019-08-05,105,Delhi
2019-08-06,76,Delhi
2019-08-07,75,Delhi
2019-08-08,79,Delhi
2019-08-09,75,Delhi
2019-08-10,59,Delhi
2019-08-11,68,Delhi
2019-08-12,57,Delhi
2019-08-13,69,Delhi
2019-08-14,63,Delhi
2019-08-15,75,Delhi
2019-08-16,53,Delhi
2019-08-17,49,Delhi
2019-08-18,49,Delhi
2019-08-19,81,Delhi
2019-08-20,97,Delhi
2019-08-21,109,Delhi
2019-08-22,123,Delhi
2019-08-23,129,Delhi
2019-08-24,147,Delhi
2019-08-25,91,Delhi
2019-08-26,66,Delhi
2019-08-27,117,Delhi
2019-08-28,105,Delhi
2019-08-29,91,Delhi
2019-08-30,101,Delhi
2019-08-31,114,Delhi
2019-09-01,108,Delhi
2019-09-02,96,Delhi
2019-09-03,141,Delhi
2019-09-04,173,Delhi
2019-09-05,95,Delhi
2019-09-06,90,Delhi
2019-09-07,82,Delhi
2019-09-08,77,Delhi
2019-09-09,108,Delhi
2019-09-10,137,Delhi
2019-09-11,168,Delhi
2019-09-12,151,Delhi
2019-09-13,86,Delhi
2019-09-14,72,Delhi
2019-09-15,72,Delhi
2019-09-16,105,Delhi
2019-09-17,135,Delhi
2019-09-18,110,Delhi
2019-09-19,66,Delhi
2019-09-20,90,Delhi
2019-09-21,114,Delhi
2019-09-22,67,Delhi
2019-09-23,83,Delhi
2019-09-24,94,Delhi
2019-09-25,90,Delhi
2019-09-26,74,Delhi
2019-09-27,63,Delhi
2019-09-28,67,Delhi
2019-09-29,60,Delhi
2019-09-30,68,Delhi
2019-10-01,93,Delhi
2019-10-02,90,Delhi
2019-10-03,136,Delhi
2019-10-04,100,Delhi
2019-10-05,98,Delhi
2019-10-06,127,Delhi
2019-10-07,130,Delhi
2019-10-08,112,Delhi
2019-10-09,173,Delhi
2019-10-10,211,Delhi
2019-10-11,216,Delhi
2019-10-12,222,Delhi
2019-10-13,270,Delhi
2019-10-14,252,Delhi
2019-10-15,270,Delhi
2019-10-16,304,Delhi
2019-10-17,284,Delhi
2019-10-18,248,Delhi
2019-10-19,161,Delhi
2019-10-20,238,Delhi
2019-10-21,249,Delhi
2019-10-22,207,Delhi
2019-10-23,242,Delhi
2019-10-24,311,Delhi
2019-10-25,284,Delhi
2019-10-26,287,Delhi
2019-10-27,337,Delhi
2019-10-28,368,Delhi
2019-10-29,400,Delhi
2019-10-30,419,Delhi
2019-10-31,410,Delhi
2019-11-01,484,Delhi
2019-11-02,399,Delhi
2019-11-03,494,Delhi
2019-11-04,407,Delhi
2019-11-05,324,Delhi
2019-11-06,214,Delhi
2019-11-07,309,Delhi
2019-11-08,330,Delhi
2019-11-09,283,Delhi
2019-11-10,321,Delhi
2019-11-11,360,Delhi
2019-11-12,425,Delhi
2019-11-13,456,Delhi
2019-11-14,463,Delhi
2019-11-15,458,Delhi
2019-11-16,357,Delhi
2019-11-17,215,Delhi
2019-11-18,214,Delhi
2019-11-19,242,Delhi
2019-11-20,301,Delhi
2019-11-21,366,Delhi
2019-11-22,360,Delhi
2019-11-23,312,Delhi
2019-11-24,234,Delhi
2019-11-25,252,Delhi
2019-11-26,270,Delhi
2019-11-27,134,Delhi
2019-11-28,106,Delhi
2019-11-29,84,Delhi
2019-11-30,193,Delhi
2019-12-01,250,Delhi
2019-12-02,279,Delhi
2019-12-03,282,Delhi
2019-12-04,296,Delhi
2019-12-05,382,Delhi
2019-12-06,404,Delhi
2019-12-07,371,Delhi
2019-12-08,391,Delhi
2019-12-09,343,Delhi
2019-12-10,369,Delhi
2019-12-11,408,Delhi
2019-12-12,430,Delhi
2019-12-13,240,Delhi
2019-12-14,163,Delhi
2019-12-15,213,Delhi
2019-12-16,186,Delhi
2019-12-17,168,Delhi
2019-12-18,292,Delhi
2019-12-19,362,Delhi
2019-12-20,432,Delhi
2019-12-21,418,Delhi
2019-12-22,322,Delhi
2019-12-23,327,Delhi
2019-12-24,383,Delhi
2019-12-25,350,Delhi
2019-12-26,349,Delhi
2019-12-27,373,Delhi
2019-12-28,409,Delhi
2019-12-29,431,Delhi
2019-12-30,446,Delhi
2019-12-31,387,Delhi
2020-01-01,437,Delhi
2020-01-02,417,Delhi
2020-01-03,352,Delhi
2020-01-04,334,Delhi
2020-01-05,330,Delhi
2020-01-06,325,Delhi
2020-01-07,254,Delhi
2020-01-08,266,Delhi
2020-01-09,203,Delhi
2020-01-10,255,Delhi
2020-01-11,288,Delhi
2020-01-12,348,Delhi
2020-01-13,366,Delhi
2020-01-14,283,Delhi
2020-01-15,218,Delhi
2020-01-16,281,Delhi
2020-01-17,265,Delhi
2020-01-18,243,Delhi
2020-01-19,277,Delhi
2020-01-20,269,Delhi
2020-01-21,364,Delhi
2020-01-22,370,Delhi
2020-01-23,211,Delhi
2020-01-24,151,Delhi
2020-01-25,250,Delhi
2020-01-26,325,Delhi
2020-01-27,345,Delhi
2020-01-28,243,Delhi
2020-01-29,194,Delhi
2020-01-30,202,Delhi
2020-01-31,190,Delhi
2020-02-01,232,Delhi
2020-02-02,244,Delhi
2020-02-03,270,Delhi
2020-02-04,310,Delhi
2020-02-05,312,Delhi
2020-02-06,231,Delhi
2020-02-07,295,Delhi
2020-02-08,289,Delhi
2020-02-09,285,Delhi
2020-02-10,309,Delhi
2020-02-11,323,Delhi
